scientific_name,common_name,category,added_by
Osmeridae,Smelt,animal,JL
Pectinidae,scallop,animal,JL
Rajidae,Skate,animal,JL
Scaridae,Parrotfish,animal,JL
Serranidae,Sea bass,animal,JL
Soleidae,Sole,animal,JL
Squalidae,Dogfish,animal,JL
Stromateidae,Butter fish,animal,JL
Strombidae,conch,animal,JL
Tetraodontidae ,"Blowfish, pufferfish",animal,JL
Felis catus,cat,animal,BP
Ficus racemosa,cluster fig,plant,BP
Flammulina velutipes,enokitake,fungus,BP
Foeniculum vulgare,fennel,plant,BP
Fragaria,strawberry,plant,BP
Fragaria x ananassa,strawberry,plant,BP
Gadus,Cod,animal,JL
Gallus gallus,chicken,animal,BP
Garcinia oblongifolia,south china mangosteen,plant,BP
Scylla,mud crab,animal,JL
Panopeidae,mud crab,animal,JL
Xanthidae,mud crab,animal,JL
Takifugu,fugu fish,animal,JL
Lagocephalus,fugu fish,animal,JL
Sphoeroides,fugu fish,animal,JL
Diodon,fugu fish,animal,JL
Geoffroea decorticans,chaÒar,plant,JL
Gigantochloa,bamboo,plant,BP
Glebionis coronaria,crown daisy,plant,BP
Glycine max,soybean,plant,BP
Glycyrrhiza glabra,licorice,plant,JL
Glyptocephalus cynoglossus,"Witch, righteye flounder",animal,JL
Gnetum africanum,eru,plant,BP
Grifola frondosa,"hen of the woods, maitake",fungus,JL
Gryllus,field cricket,animal,BP
Gurania,jungle cucumber,plant,BP
Harpadon nehereus,"Bombay duck, bummalo",animal,JL
Helianthus annuus,sunflower,plant,BP
Helianthus tuberosus,"jerusalem artichoke, sunchoke",plant,JL
Helix pomatia,escargot,animal,BP
Helix pomatia,land snail,animal,BP
Hericium abietis,"bear's head, western coral hedgehog",fungus,BP
Hericium americanum,bear's head tooth,fungus,BP
Hericium coralloides,comb tooth,fungus,BP
Hericium erinaceus,lion's mane,fungus,JL
Hericium erinaceus,"lion's mane, monkey head",fungus,BP
Hibiscus sabdariffa,roselle,plant,BP
