superkingdom,kingdom,phylum,order,family,family_color,genus,genus_color,species,species_color
Eukaryota,Viridiplantae,Streptophyta,Brassicales,Brassicaceae,#276419,Brassica,,NA,
Eukaryota,Viridiplantae,Streptophyta,Poales,Bromeliaceae,#FFFFBF,Ananas,,Ananas comosus,
Eukaryota,Viridiplantae,Streptophyta,Brassicales,Caricaceae,#F4A582,Carica,,Carica papaya,
Eukaryota,Viridiplantae,Streptophyta,Caryophyllales,Chenopodiaceae,#B2182B,Spinacia,,Spinacia oleracea,
Eukaryota,Viridiplantae,Streptophyta,Caryophyllales,Chenopodiaceae,#B2182B,Beta,,Beta vulgaris,
Eukaryota,Viridiplantae,Streptophyta,Caryophyllales,Chenopodiaceae,#B2182B,Chenopodium,,Chenopodium quinoa,
Eukaryota,Viridiplantae,Streptophyta,Solanales,Convolvulaceae,#B35806,Ipomoea,,Ipomoea batatas,
Eukaryota,Viridiplantae,Streptophyta,Cucurbitales,Cucurbitaceae,#B8E186,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Cucurbitales,Cucurbitaceae,#B8E186,Cucumis,,Cucumis sativus,
Eukaryota,Viridiplantae,Streptophyta,Cucurbitales,Cucurbitaceae,#B8E186,Citrullus,,Citrullus lanatus,
Eukaryota,Viridiplantae,Streptophyta,Cucurbitales,Cucurbitaceae,#B8E186,Cucumis,,Cucumis melo,
Eukaryota,Viridiplantae,Streptophyta,Cucurbitales,Cucurbitaceae,#B8E186,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Ericales,Ericaceae,#2166AC,Vaccinium,,Vaccinium pallidum,
Eukaryota,Viridiplantae,Streptophyta,Ericales,Ericaceae,#2166AC,Vaccinium,,Vaccinium ovalifolium,
Eukaryota,Viridiplantae,Streptophyta,Fabales,Fabaceae,#67001F,Glycine,,Glycine max,
Eukaryota,Viridiplantae,Streptophyta,Fabales,Fabaceae,#67001F,Cicer,,Cicer arietinum,
Eukaryota,Viridiplantae,Streptophyta,Fabales,Fabaceae,#67001F,Phaseolus,,NA,
Eukaryota,Viridiplantae,Streptophyta,Fabales,Fabaceae,#67001F,Pisum,,Pisum sativum,
Eukaryota,Viridiplantae,Streptophyta,Fabales,Fabaceae,#67001F,Lens,,Lens culinaris,
Eukaryota,Viridiplantae,Streptophyta,Fabales,Fabaceae,#67001F,Vigna,,NA,
Eukaryota,Viridiplantae,Streptophyta,Fabales,Fabaceae,#67001F,Arachis,,Arachis hypogaea,
Eukaryota,Viridiplantae,Streptophyta,Fagales,Juglandaceae,#8C510A,Juglans,,Juglans regia,
Eukaryota,Viridiplantae,Streptophyta,Fagales,Juglandaceae,#8C510A,Carya,,Carya illinoinensis,
Eukaryota,Viridiplantae,Streptophyta,Lamiales,Lamiaceae,#5AAE61,Mentha,,NA,
Eukaryota,Viridiplantae,Streptophyta,Laurales,Lauraceae,#1B7837,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Laurales,Lauraceae,#1B7837,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Laurales,Lauraceae,#1B7837,Cinnamomum,,NA,
Eukaryota,Viridiplantae,Streptophyta,Malpighiales,Linaceae,#BF812D,Linum,,Linum usitatissimum,
Eukaryota,Viridiplantae,Streptophyta,Malvales,Malvaceae,#67001F,Theobroma,,Theobroma cacao,
Eukaryota,Viridiplantae,Streptophyta,Malvales,Malvaceae,#67001F,Abelmoschus,,Abelmoschus esculentus,
Eukaryota,Viridiplantae,Streptophyta,Zingiberales,Musaceae,#FEE090,Musa,,Musa acuminata,
