needs_QC,scientific_name,common_name,alternative_names,category,source
,Antimora rostrata,morid cod,cod,animal,"FDA The Seafood List, 2023/07/21"
,Anyperodon leucogrammicus,grouper,slender grouper,animal,"FDA The Seafood List, 2023/07/21"
,Aphanopus carbo,cutlassfish,,animal,"FDA The Seafood List, 2023/07/21"
,Aphareus furca,jobfish,"smalltooth jobfish, snapper",animal,"FDA The Seafood List, 2023/07/21"
,Aphareus rutilans,silverjaw snapper,"jobfish, rusty jobfish, snapper",animal,NOAA Fisheries
,Apis cerana,eastern honey bee,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Apis dorsata,giant honey bee,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Apis mellifera,honeybee,,animal,JL
,Aplodinotus grunniens,freshwater drum,drum,animal,"FDA The Seafood List, 2023/07/21"
,Apocryptes bato,chiring,,animal,"FDA The Seafood List, 2023/07/21"
,Apostichopus japonicus,japanese sea cucumber,,animal,FAO Cultured Aquatic Species Fact Sheets
,Aprion virescens,jobfish,"green jobfish, snapper",animal,"FDA The Seafood List, 2023/07/21"
,Apsilus dentatus,snapper,black snapper,animal,"FDA The Seafood List, 2023/07/21"
,Apsilus fuscus,snapper,african forktail snapper,animal,"FDA The Seafood List, 2023/07/21"
,Arapaima gigas,arapaima,"pirarucu, paima",animal,FAO Cultured Aquatic Species Fact Sheets
,Arca granosa,cockle,,animal,"FDA The Seafood List, 2023/07/21"
,Arca imbricata,arkshell,mossy ark,animal,"FDA The Seafood List, 2023/07/21"
,Arca noae,arkshell,noah's ark,animal,"FDA The Seafood List, 2023/07/21"
,Arca zebra,arkshell,turkey wing,animal,"FDA The Seafood List, 2023/07/21"
,Archoplites interruptus,sunfish,sacramento perch,animal,"FDA The Seafood List, 2023/07/21"
,Archosargus probatocephalus,sheepshead,,animal,SJ
,Archosargus rhomboidalis,sea bream,,animal,"FDA The Seafood List, 2023/07/21"
,Arctica islandica,ocean quahog,"clam, hard clam",animal,Marty Smith
,Arctogadus borisovi,cod,toothed cod,animal,"FDA The Seafood List, 2023/07/21"
,Arctogadus glacialis,cod,polar cod,animal,"FDA The Seafood List, 2023/07/21"
,Ardeotis australis,australian bustard,,animal,"Newton, ""The Oldest Foods on Earth"""
,Argentina elongata,argentine,,animal,"FDA The Seafood List, 2023/07/21"
,Argentina silus,smelt,great silver smelt,animal,"FDA The Seafood List, 2023/07/21"
,Argentina sphyraena,smelt,lesser silver smelt,animal,"FDA The Seafood List, 2023/07/21"
,Argopecten aequisulcatus,scallop,,animal,"FDA The Seafood List, 2023/07/21"
,Argopecten gibbus,calico scallop,"atlantic calico scallop, scallop",animal,"FDA The Seafood List, 2023/07/21"
,Argopecten irradians,atlantic bay scallop,"bay scallop, scallop",animal,SJ
,Argopecten lineolaris,scallop,lined scallop,animal,"FDA The Seafood List, 2023/07/21"
,Argopecten nucleus,scallop,nucleus scallop,animal,"FDA The Seafood List, 2023/07/21"
,Argopecten purpuratus,scallop,,animal,"FDA The Seafood List, 2023/07/21"
,Argopecten ventricosus,calico scallop,"pacific calico scallop, scallop",animal,"FDA The Seafood List, 2023/07/21"
,Argyrops bleekeri,bream,,animal,"FDA The Seafood List, 2023/07/21"
,Argyrops spinifer,bream,,animal,"FDA The Seafood List, 2023/07/21"
,Argyrosomus hololepidotus,croaker,cob,animal,"FDA The Seafood List, 2023/07/21"
,Argyrosomus japonicus,croaker,japanese croaker,animal,"FDA The Seafood List, 2023/07/21"
,Argyrosomus regius,meagre,"croaker, shadefish",animal,FAO Cultured Aquatic Species Fact Sheets
,Ariopsis felis,whiskered fish,hardhead catfish,animal,"FDA The Seafood List, 2023/07/21"
,Ariosoma balearicum,conger eel,"bandtooth conger, eel",animal,"FDA The Seafood List, 2023/07/21"
,Aristaeomorpha foliacea,shrimp,prawn,animal,"FDA The Seafood List, 2023/07/21"
,Aristaeopsis edwardsiana,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Arnoglossus scapha,flounder,witch,animal,"FDA The Seafood List, 2023/07/21"
,Arripis georgianus,kahawai,australian ruff,animal,"FDA The Seafood List, 2023/07/21"
,Arripis trutta,kahawai,,animal,"FDA The Seafood List, 2023/07/21"
,Artemia,brine shrimps,,animal,FAO Cultured Aquatic Species Fact Sheets
,Aseraggodes kobensis,sole,milky spotted sole,animal,"FDA The Seafood List, 2023/07/21"
,Aspongopus nepalensis,stink bug,ghondibug,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
1,Astacoidea,crayfish,crawfish,animal,JL
,Astronotus ocellatus,oscar,,animal,"FDA The Seafood List, 2023/07/21"
,Atheresthes evermanni,flounder,,animal,"FDA The Seafood List, 2023/07/21"
,Atheresthes stomias,arrowtooth flounder,flounder,animal,NOAA Fisheries
,Atherina boyeri,silverside,,animal,"FDA The Seafood List, 2023/07/21"
